,id,originalTitle,type,isAdult,releaseDate,runtimeMinutes,averageRating
0,tt27706593,The Rivals of Amziah King,movie,False,2025-03-10,130.0,8.0
1,tt21103218,The Lost Bus,movie,False,2025-10-03,130.0,6.8
2,tt31937790,Superhuman Body: World of Medical Marvels,movie,False,2024-04-12,40.0,6.9
3,tt27590028,The Oscars,tvSpecial,False,2024-03-10,157.0,6.7
4,tt23219702,2023 CMT Music Awards,tvSpecial,False,,132.0,5.9
5,tt29580199,Unsolved Mysteries: Behind the Legacy,movie,False,2023-10-05,55.0,7.5
6,tt10814036,Agent Elvis,tvSeries,False,2023-03-17,,6.8
7,tt18967390,Deep in the Heart: A Texas Wildlife Story,movie,False,2022-06-03,101.0,7.6
8,tt13819950,Stephen A's World,tvSeries,False,2021-01-11,,4.7
9,tt14477048,Oscars: Into the Spotlight,tvSpecial,False,,,5.6
10,tt12688170,The Kids Tonight Show,tvSeries,False,2021-10-14,,5.2
11,tt6467266,Sing 2,movie,False,2021-12-22,110.0,7.3
12,tt12179810,The Anytime Show with Mister H. I.,tvSeries,False,2020-04-17,,5.8
13,tt12599288,Uncomfortable Conversations with a Black Man,tvMiniSeries,False,2020-06-03,,6.6
14,tt11358806,Cup of Joe,tvSeries,False,2020-04-27,,7.4
15,tt13308412,Drew & A,tvSeries,False,2020-10-24,,4.6
16,tt10171532,The Oprah Conversation,tvSeries,False,2020-07-30,,4.0
17,tt9821508,IMDb at SXSW,tvSeries,False,2019-03-08,,6.5
18,tt6511932,The Beach Bum,movie,False,2019-03-29,95.0,5.5
19,tt6476140,Serenity,movie,False,2019-01-25,106.0,5.4
20,tt8367814,The Gentlemen,movie,False,2020-01-24,113.0,7.8
21,tt9398640,Between Two Ferns: The Movie,movie,False,2019-09-20,82.0,6.1
22,tt11568358,eTalk Presents: TIFF 2018 presented by Bell,tvMiniSeries,False,2018-09-09,,
23,tt8027544,The Oscars Opening Ceremony: Live from the Red Carpet,tvSpecial,False,,90.0,8.0
24,tt4537896,White Boy Rick,movie,False,2018-09-14,111.0,6.5
25,tt10452542,Harvey Can't Mess with Texas,tvSpecial,False,,90.0,
26,tt6391108,Big Fan,tvSeries,False,2017-01-09,,4.9
27,tt3180122,John G. Avildsen: King of the Underdogs,movie,False,2017-08-01,78.0,7.6
28,tt6634050,The Envelope,tvMiniSeries,False,2017-02-08,,6.0
29,tt7770020,U2 at the BBC,tvMovie,False,,60.0,7.4
